	mir144_rep1_batch1	mir199a_rep1_batch1	mir204_rep1_batch1	mir137_rep1_batch2	mir143_rep1_batch2	mir144_rep2_batch2	mir155_rep1_batch2	mir199a_rep2_batch2	mir204_rep2_batch2	mir205_rep1_batch2	mir223_rep1_batch2	mir7_rep1_batch3	mir137_rep2_batch3	mir139_rep1_batch3	mir153_rep1_batch3	mir182_rep1_batch3	mir205_rep2_batch3	mir216b_rep1_batch3	let7_rep2_batch5	lsy6_rep2_batch5	mir1_rep2_batch5	mir124_rep2_batch5	mir143_rep2_batch5	mir153_rep2_batch5	mir216b_rep2_batch5	mir223_rep2_batch5	let7_rep1_batch4	lsy6_rep1_batch4	mir1_rep1_batch4	mir7_rep2_batch4	mir124_rep1_batch4	mir139_rep2_batch4	mir155_rep2_batch4	mir182_rep2_batch4
NM_000019.3	5.542725685264562	5.6088084319690745	5.533431459906213	5.4490428121567	5.658362868794632	5.62080940166619	5.745589000636417	5.680097114920191	5.593215742290672	5.528213221452272	5.661650742408331	5.0853703293021875	4.877879941094768	4.855845915107522	5.034038117392746	5.328740273823196	4.971813740411028	5.006773564617104	5.388757243059471	5.51714457014545	5.700749873083437	5.556859219681731	5.574595165654755	5.467079043016221	5.551562428817451	5.589993961696155	5.473887292213046	5.480304533233995	5.371837945838996	5.679124929583006	5.65920545584904	5.536223268626681	5.618337733080599	5.574643386214843
NM_000031.5	3.334202527256813	3.140015887946125	3.1116007011866396	3.3495279934505273	3.313364542118347	3.4091465236537726	3.4768961922933697	3.4181388754564157	3.0670188235650566	2.8881527150265827	3.3195054847144525	3.560352054362149	3.1690948732260766	2.9420375877778375	3.1329711796524213	3.3177480912729305	3.1500635574992906	3.15394567865979	3.15522138923698	3.0860170897392263	3.111610282238659	3.1808480139722306	3.407686480865844	3.091284117218516	3.052573768662364	3.144612022631797	3.1166188729449464	2.878563817640758	3.0263587343253597	3.361034055826645	2.884350567940432	2.9735282968983174	3.026381524179102	2.9691259687892493
NM_000046.3	4.309649382825915	4.156882374575026	4.222681834029903	3.509179183034878	3.881904328262383	4.015907522618006	3.967997923399203	3.930838914016757	4.101717786489513	3.7782111881247737	3.9514280294546733	2.8958953662651328	3.7882783921888676	3.8051005565340166	3.9407458684227623	3.992946251790393	3.76066333277069	3.699797924537031	3.9946456998560196	4.198287408130627	4.051750662538104	4.237180435901635	4.008897757424205	4.04693987280252	3.912919344442043	4.080313163686256	4.292613128915551	4.409727716976582	4.2094777023680905	3.17149730422391	4.525185334435204	4.339926217691329	4.382347159598709	4.160728122425845
NM_000064.3	2.515424398742183	2.589843684822462	2.892259854794104	2.398721102195909	2.7759988730419023	2.69322578057885	2.292031285657661	2.842306925552175	2.9334015239777216	3.230961674341451	2.9383617472413786	2.823589737645271	2.5212096056817788	2.728745701264727	3.000714556725599	3.134958729478297	2.969082514461441	2.4589929002575057	1.5047833571876779	1.3645910057542279	1.1257639063335438	1.455081546245759	1.6601354612955412	2.458985555646504	1.4941284439528955	1.7202298640238867	2.17267760147631	2.1177502295716013	2.0891480085855507	2.2148574436477286	1.9434048054515942	2.337071725177642	1.8649146937004795	2.800833099392302
NM_000086.2	4.393199414147646	4.596947726881369	4.648477126812169	4.407845532489145	4.439416941155906	4.530663767525939	4.485573454076418	4.622111679782352	4.645149831374113	4.6676608824741175	4.5056705094893905	4.108959142292321	4.527609670238892	4.714864892234539	4.569912464508439	4.580343933405003	4.716804401618706	4.806577200335165	4.070618332879431	4.329902247228594	4.071532941097633	4.2188543509009735	4.310819820676789	4.406422473138571	4.41849456327559	4.4117607544910085	3.8920995710834365	4.3599473885055176	4.13921996873499	3.6183781402617123	4.112681816098409	4.175787304746518	4.197603092628088	4.302471651964809
NM_000088.3	6.8188850677822455	6.541753217849892	6.599253429542245	6.836305696354721	6.711229622107793	6.912888529286212	7.068974500787921	6.748585401000722	6.831359256822437	6.894118846047521	6.743738358744143	6.513406716129271	6.750448445288209	6.562898624376285	6.623117692596944	6.642903863272779	6.521629799989511	6.046389766646331	6.100464242981348	6.427480339758015	6.107535129385243	6.078282848095233	6.2743645153163365	6.487947861625482	6.307143708824052	6.362100418775815	6.58653854411343	6.797923671117486	6.453941854701697	6.429815472950746	6.502378354403594	6.721906699315918	6.927288950732709	6.684976877325034
NM_000094.3	5.375933135379642	4.8348247084208875	5.1241231730787575	5.624379348309097	5.668621432430455	5.774786502643222	5.787362875441148	5.221772763169858	5.709986877530985	5.851276874790974	5.5214785596460905	5.463558429598266	5.44280231781019	5.325514585825883	5.155408298735468	5.5460722987751385	5.255947444471216	4.669928573469556	5.2775886892342525	5.273687792700263	5.330630976374842	5.536307333062306	5.445029167197269	5.49707387107581	5.306912028117024	5.27125405128157	4.782082311367003	4.821420069666302	4.642277927005059	4.869195221420123	5.088926529735306	4.976517329802306	5.087249446112896	5.043374020442323
NM_000098.2	4.265798255417937	4.073198558176861	4.264020218923327	4.236765314468336	4.272622888023027	4.198110341359838	4.4221132417954205	4.255399557971421	4.470452694561643	4.345919141394856	4.404997236855431	4.679856864125419	4.354971799617093	4.094739950941385	4.355889377723787	4.400703150624041	4.190017180857215	3.8775267371030036	4.025539445699595	3.713990923967792	4.13237899588099	4.0964283268113775	4.032692286653049	4.257469830719351	3.887639060613933	4.284524753074014	4.152419499510623	3.731198078711395	4.1280059266886235	4.765731350870004	4.241931134440897	4.088968811393917	4.317756270936732	4.3888703224687315
NM_000099.3	4.885138120259637	4.876433032128972	5.115311181296626	5.0492164435253715	4.97614843525774	5.140923288280117	5.0413207652339205	5.106565199209147	4.973512545600136	5.081564859228147	4.945921733682971	5.180744188727286	5.118911277248455	5.1754550665931	5.2146072616824375	5.032089794077174	5.169522394577416	5.173404515737915	4.625068577513958	4.728181695675884	4.6164770127553165	4.910753870662764	4.718613218544545	4.823060881844861	4.675617333152243	4.637159098192307	4.816520429040842	4.642089280581683	4.61603315764062	4.56712608228325	4.7234858508872755	4.5388568538869976	4.691175468246519	4.640278111599159
NM_000100.3	5.970989708337533	6.176437256824216	6.130422137235368	6.173091081674581	5.861515650482435	6.072366961802648	6.0050975213914155	5.964070227082191	6.152946176256602	6.117180911358801	5.146735133390815	5.829354125312404	6.305476007173454	6.1843110108600765	6.113376739369445	6.020746500878724	6.18126601050159	6.174868201042339	6.182612239475953	6.204379718183926	6.179445516118206	6.194490649801179	5.810399542142255	6.145958926405957	6.300942347755177	5.253521725074942	6.471962950110979	6.188130876456989	6.418771286431782	5.836732829794122	6.1944465873614325	6.1119021249624055	6.318186126655493	6.149128679148385
