	let7	lsy6	mir1	mir124	mir137	mir139	mir143	mir144	mir153	mir155	mir182	mir199a	mir204	mir205	mir216b	mir223	mir7
NM_000019.3	5.448621782460004	5.5160240665134666	5.55359342428496	5.62533185258913	5.384876120163006	5.468634376020472	5.582593491432339	5.546908096509177	5.5078066918617985	5.663429513562209	5.72429161417239	5.609593326488433	5.5284641541422435	5.471428224468921	5.536416108374594	5.5919368262598885	5.654847413595968
NM_000031.5	3.1960070844898962	3.0423774070889253	3.129071461680942	3.092686244355264	3.1677558647271242	2.9897993837493746	3.2970404548685535	3.3202603410743485	3.0599153919626367	3.272382499496823	3.175453471442387	3.227663197320326	3.037895577994904	2.927552567651759	3.051047467188245	3.168573697049583	3.492709496505694
NM_000046.3	4.061103711934853	4.2214818601026725	4.048088480002164	4.298657182717488	3.822200119567821	4.039433063699626	4.069426995761356	4.26957001410639	4.077757032717793	4.182204008898819	4.043756863695073	4.15065220568032	4.268991371644137	3.94290859240368	3.8902727965946893	4.139896549488527	3.0006160118314744
NM_000064.3	2.459099323329404	2.3615394616603247	2.2278248014569573	2.319612019846087	2.364609618572569	2.6658696457929203	2.6101193432281216	2.52575737436885	3.1836819274625094	2.1496542270337478	3.100856847007035	2.637507589895652	2.8342629740942464	3.0046663590351708	2.430392543381658	2.7213479816920323	2.652184523218235
NM_000086.2	4.1433881586891	4.506954024574721	4.267405661623977	4.327797290207357	4.349772825709328	4.457136742714321	4.40738216774553	4.435381422363257	4.455576816945067	4.418253356283666	4.453218436908699	4.582979534858325	4.620263310619606	4.574277866391721	4.57994522992694	4.490979418819382	3.875479285500809
NM_000088.3	6.4162819000202465	6.685482511910608	6.353518998516328	6.36311110772227	6.7443605805578795	6.642235386277935	6.516728360489502	6.777063219878399	6.708094735936725	6.869333783144075	6.6637730947307405	6.556345730769477	6.626482764526511	6.658857832754931	6.329328696560703	6.576850680537417	6.471443818971842
NM_000094.3	5.041816885880962	5.059535316763617	4.998435837270284	5.32459831697914	5.287597607912325	5.29046755694685	5.183361861114121	5.3467489646006365	5.164006129880169	5.365529276235506	5.434174758741486	4.799687881384577	5.188444170894076	5.307618934483775	4.82618534576782	5.022902866764089	5.30582842464195
NM_000098.2	4.088199823644391	3.721814852378876	4.129412812324089	4.168400081665419	4.225368791069645	4.055495434793881	4.117737118778019	4.178463371493092	4.308241223480071	4.297093722173786	4.358427790172617	4.110808131178345	4.31374552984669	4.197468395152965	3.8841445181169707	4.309840526404704	4.686435161123942
NM_000099.3	4.954740374682344	4.9190813595337275	4.8502009566029125	5.051065732179964	4.903498839559658	4.8627821830475915	4.895135454671289	4.955677587702517	5.000729911841259	4.937733127240298	4.841810175645708	4.9341459991017	4.987058746881021	4.944978606075526	4.906406764522689	4.839295043707785	4.87956135831281
NM_000100.3	6.2188305665609995	6.08779826908799	6.190651373042527	6.086011590348839	6.217492379576197	6.030479257186773	5.823336713956526	6.036422624612705	6.065767206598833	6.095294257232035	5.9673102792890855	6.084998031495818	6.156428446288599	6.127432296082375	6.17400464810989	5.187507546877059	5.715416166828795
NM_000101.3	5.677191947230133	5.680743594006714	5.525942837948393	5.636308825864162	5.556815516169003	5.56879829727448	5.706359539429119	5.44996551458297	5.724991566823978	5.415747418773249	5.576325561035268	5.430188754282181	5.613226679145203	5.6281274885063866	5.642686572138722	5.610740680978939	5.630142708292604
