	mir122	mir133	mir138	mir145	mir184	mir190a	mir200b	mir216a	mir217	mir219a	mir375	mir451a
ENST00000000233.5	5.918749389452415	5.781174536526173	6.019924894746129	6.3065989442968	6.150227083633254	5.999401033343824	6.248201095241546	6.275489348522633	6.076754777087225	6.263750685095632	6.0237540612347775	6.055601154984977
ENST00000001146.2	1.8133655131477076	1.9384403368473664	1.295700356734451	2.1446452472794073	1.7497188216575696	1.6165366888530996	2.4105223454196025	1.8756745141520654	2.0608936664132305	2.432232686348362	1.979886223483689	1.7237226223366193
ENST00000002125.4	4.768824178007023	4.774866535944954	4.805613920025723	4.595134914808424	4.447301750531201	4.7903236954768476	4.624540088459081	4.517232876811999	4.384944676223858	4.6442535225828365	4.4263049322384695	4.640399324074414
ENST00000002165.6	6.282849144208183	6.225562323041922	6.284141021709097	5.180098820999834	6.132492847544917	6.396544129017328	6.378456933101909	6.147263649922433	6.241011693227298	6.1531662034693255	5.817136298137472	6.164317629458404
ENST00000002829.3	2.585665549617329	2.3684104054745907	2.093126110624442	2.571607788041751	2.485722299714271	2.0990158924270137	2.568132642468769	2.6533830565809113	2.6788661694910236	2.789125733643414	2.5024808159383745	2.6198204603069666
ENST00000003100.8	5.4261802347627865	5.378600051103415	5.352954804108771	5.1734729568652025	5.439995548219718	5.215788151671987	5.3234467297642265	5.2123455345948235	5.269624455432462	5.361725758609381	5.234383697718872	5.260436581975615
ENST00000003302.4	5.619641684334043	5.60350268885556	5.144364902320765	5.384025828513304	5.576103280861028	5.507107121428373	5.500597755398912	5.22576194275741	5.377738941093938	5.523399128971953	5.494693842613833	5.258064358068456
ENST00000005178.5	2.1034918175574235	2.202879591655302	2.5218843008687477	2.083125736873265	2.09227966074498	2.1636129371402597	2.3488998393086256	1.8853491293536317	1.9998021736807738	2.451315331513892	2.5118465603774895	1.9635038261692637
ENST00000005257.2	6.108127499831523	6.078363383939751	6.28169283294841	6.167760933470625	6.068473536466522	6.1504741890151635	6.028702366883385	6.054247374914063	5.916538015052539	6.0517510473148715	6.105377736142151	5.949622909717972
ENST00000005286.4	3.271302285087975	2.9534846372851415	3.081270288724655	3.252025298821997	3.2640287324415587	2.9267717760712895	3.422713852568089	3.421055449234162	3.4386132014899435	3.467010504964517	3.3524135575534197	3.3560850374491396
ENST00000005340.5	4.8724813715856	4.833926760220201	4.008671535749805	4.928379963374466	4.851566401573056	4.831256127484263	5.001688281733026	4.622029003057333	4.930494946053373	4.945996785659588	4.92174819326066	5.073919570886078
ENST00000006015.3	3.9100170225351363	3.7948122101384403	3.527881036862239	3.911121725808075	3.9614179200633197	3.73162067523049	3.890449593695647	4.095595684164387	3.9088189681388585	4.184868971763952	4.008093140810766	4.06669979595061
ENST00000006658.6	3.084172279032507	3.1007367269028725	3.074863125874973	3.456193149731906	3.2899116056077853	2.921249826240916	3.335065667009822	3.193795286749144	3.1744185073378564	3.2783843163212296	3.155472764002553	3.136342767914079
ENST00000007390.2	4.758771736330775	4.791656278627396	4.695983095270441	4.539149580944455	4.752248416103841	4.690911401502325	4.6845117319066905	4.8170617296561975	4.797482878395316	5.0223608478396375	4.858900741295043	4.886967875645799
ENST00000007516.3	6.033229116642561	6.135762378101334	6.163583274555904	6.028570259494806	6.016114545911382	5.978372501155066	6.107120775636908	5.810688279741571	5.956553386857569	6.066509469951567	6.1163703537384535	6.024174259532538
ENST00000008527.5	5.360614517626554	5.279160211489138	5.477910460389691	5.383129284717743	5.381207585522985	5.505729965333179	5.384316122538232	5.322323240732321	5.289876590002077	5.471074132208449	5.3788535535760165	5.3495483170238955
ENST00000012049.5	3.5938580720470634	3.0114110085437837	3.6206859510859006	3.5487624321030724	3.6410192795707195	3.6769776845664155	3.873048056685279	3.7644319853865396	3.804520194224626	3.6437332171048746	3.8032207634032464	3.7712857687720196
ENST00000012443.4	6.314174713349509	6.145392184158491	6.398671789441004	6.397456556665052	6.261874812032709	6.242003059444914	6.321670801691257	6.377903903473225	6.332401175082106	6.104420652486631	6.307227322178925	6.110566690409579
ENST00000013070.6	5.44735135651041	5.754574335593075	5.960940173038656	5.277571529497856	5.452585304206297	5.86639583539855	5.77208520244668	5.475481717626391	5.712474371572365	5.790910775227803	5.827034037382875	5.740226102278665
ENST00000013125.4	5.26747360468849	5.280202036250106	5.521017571630963	5.229094848189019	5.346254083166993	5.451532132337169	4.410334646770725	5.194270016723593	5.2153467893596055	5.115857782072352	5.363326140274335	5.338510624300335
ENST00000014930.4	5.2039180824889595	5.260811392235258	5.209641023720886	4.850976810870993	5.031604631345434	5.23631036136403	5.202376900952615	5.149417919495752	5.04046830113476	5.1357220103558925	5.048608702347652	5.085123175751389
ENST00000017003.2	3.8330865680456925	3.7925685650012992	3.146282848508798	3.6736854113535298	3.8590089026672523	3.567771735867482	4.110341172472726	3.9824647651713914	3.789990360099718	3.8747309246892554	3.7883273346219903	3.8304080514266072
ENST00000025301.2	4.685829865824386	4.975276730400168	4.801180777861852	4.794556315387572	4.949457156696193	4.812053980992818	4.853788509406506	4.757608738096893	4.32763729483915	4.815672837731021	4.951976727668443	4.816506034152152
ENST00000038176.3	4.495384801893164	4.719768783977801	4.951762078279641	4.432485963869782	4.443739933824766	4.706056499245009	4.136431503805789	4.710293561046447	3.9743978656259413	4.4183771991183916	4.548865251923122	3.938685665982333
ENST00000040738.5	5.047670097488804	5.052094725153763	5.225791462175005	4.947994904601691	5.028115702758111	5.166121331124859	5.0969815138293075	4.398471356140153	4.897500803442169	4.862655467168038	4.380223877294675	5.104291187822465
ENST00000053867.3	5.572905104859564	5.581797960508389	5.350033850919169	5.745438362080307	5.644560088364256	5.444392823376428	5.797367597170572	5.680812104574963	5.861615132395277	5.697073305581899	5.776171107070009	5.773364368587166
ENST00000054650.4	3.8403481803706283	4.059484776781283	3.9998092052702745	3.9004960839924245	3.700804646172259	3.914605201719553	3.961051247458136	3.6811932109631353	4.039939931926176	3.947347586665048	4.164019322363769	3.9388895133088693
ENST00000054950.3	6.432793844111805	6.42836843235837	6.349153642913077	6.090967171902187	6.353592741073715	6.581654113478113	6.169132809674743	6.365331583154335	6.2462663907790255	6.078996946658018	6.324241300763453	6.320097542433196
ENST00000055335.6	1.4001128630333093	1.3822290712276109	1.4976935055977378	1.3068516060746567	1.1795222878442932	1.4460203320829939	1.6005193710181578	1.562235238907321	1.5243108398542768	1.5011077982118681	2.0110047254859476	1.915321577868518
ENST00000056233.3	4.298611389979137	4.0614982302653075	4.428555985511265	4.247575536351875	4.235690855012749	3.982942644164855	4.342352730748464	4.228454151025332	3.85691785667741	4.029707163695022	3.8242058539765824	3.9756682780898283
ENST00000072516.3	3.295632504848622	3.0120153442213704	3.3732922516690076	2.623880914773899	3.1290462251639353	1.8631802189326563	3.045159010239291	3.114750707470746	2.7866696696105158	3.004087074809603	2.0672972267400445	2.944549606442161
ENST00000072869.4	4.589242766822817	4.501017780413495	4.700378652864776	4.585006226964159	4.686302031325317	4.55582568459349	5.0212795542589586	4.750431143445064	4.8185962893491805	4.8218428690568285	4.693509142293417	4.7897101076653925
ENST00000078429.4	4.994614018680553	5.036004506932903	4.874150401372324	5.3333322514703525	4.977642286703114	4.529423244269065	5.063872513786004	5.209128468684485	5.21742958706829	5.189303974307898	5.202277881326997	5.06556747007876
ENST00000084798.4	3.488543468078132	3.4645711752364385	3.22123107173019	3.634287350835314	3.3335436773322638	3.102262821229064	3.9873309026612507	3.4852770454883784	3.5554879824485575	3.92547357901162	3.637250246822826	3.415596145720749
ENST00000155674.5	5.096386766023683	5.01306270908732	4.973732281233842	5.0346593358449265	4.932108539204194	4.880709068078042	4.972053884419823	5.034584465675857	5.126545994921079	5.157959102238188	5.128042314713057	4.260224215477383
ENST00000155926.4	4.446514098760928	4.300317165697994	3.9538053473096415	4.2955964670783295	4.271051228143262	4.15557994723592	4.409632951035473	4.2166390264923574	3.98282261077041	4.302202715242467	4.405155526272696	4.32347112649477
ENST00000156109.5	4.907165541757621	4.9341492660914295	5.064475736401004	4.81186718632364	4.852171155436982	4.827464972178388	4.923789114751959	4.849006284508174	4.876490671195228	4.697899505565768	4.900983299589354	4.766640584678443
ENST00000157600.3	3.2058680267558355	3.2885318338199436	2.6675353258825023	3.498680827091391	2.9874699033135985	3.2992892865991017	3.1509129482983664	3.331595084802175	3.2104950465343993	3.3446776466658594	2.857328075675586	3.2919202564216414
ENST00000157812.2	5.878171670623557	5.944045737020046	6.231513669687472	6.0186550657027915	5.933520757240292	5.942166417374255	6.0676456282656135	5.568583762627828	6.071499909401061	6.010066517582624	6.101002783167332	6.074779418320654
ENST00000159087.4	2.1696818983945603	2.01670150304175	2.0277801533305437	2.237738539106286	2.0792387316780454	1.7098918907032106	2.2683104414617024	2.2090906260266303	2.0523504040441773	2.113375048532883	2.3749256724356793	2.203290341429602
ENST00000160262.5	2.463197059841427	2.573930279615838	2.5767621569088726	2.6095693429779754	2.171050969911742	2.46966460840933	2.835797666864244	2.625976304250036	2.634694134102864	2.4727852394543235	2.468325632042311	2.482789616754193
ENST00000160827.4	5.69360496381159	5.666188347548364	5.731689540427407	5.497404845733653	5.715031161293553	5.663904781412777	5.794566540939867	5.641262987819797	5.786371997110592	5.791100991519516	5.786957075366303	5.785582201678167
