"Homo sapiens"
"Pan troglodytes"
"Gorilla gorilla gorilla"
"Pongo pygmaeus abelii"
"Nomascus leucogenys"
"Macaca mulatta"
"Macaca fascicularis"
"Papio hamadryas"
"Chlorocebus sabaeus"
"Callithrix jacchus"
"Saimiri boliviensis"
"Otolemur garnettii"
"Tupaia chinensis"
"Spermophilus tridecemlineatus"
"Jaculus jaculus"
"Microtus ochrogaster"
"Cricetulus griseus"
"Mesocricetus auratus"
"Mus musculus"
"Rattus norvegicus"
"Heterocephalus glaber"
"Cavia porcellus"
"Chinchilla lanigera"
"Octodon degus"
"Oryctolagus cuniculus"
"Ochotona princeps"
"Sus scrofa"
"Vicugna pacos"
"Camelus ferus"
"Tursiops truncatus"
"Orcinus orca"
"Pantholops hodgsonii"
"Bos taurus"
"Ovis aries"
"Capra hircus"
"Equus caballus"
"Ceratotherium simum"
"Felis catus"
"Canis lupus familiaris"
"Mustela putorius furo"
"Ailuropoda melanoleuca"
"Odobenus rosmarus divergens"
"Leptonychotes weddellii"
"Pteropus alecto"
"Pteropus vampyrus"
"Myotis davidii"
"Myotis lucifugus"
"Eptesicus fuscus"
"Erinaceus europaeus"
"Sorex araneus"
"Condylura cristata"
"Loxodonta africana"
"Elephantulus edwardii"
"Trichechus manatus latirostris"
"Chrysochloris asiatica"
"Echinops telfairi"
"Orycteropus afer afer"
"Dasypus novemcinctus"
"Monodelphis domestica"
"Sarcophilus harrisii"
"Macropus eugenii"
"Ornithorhynchus anatinus"
"Falco cherrug"
"Falco peregrinus"
"Ficedula albicollis"
"Zonotrichia albicollis"
"Geospiza fortis"
"Taeniopygia guttata"
"Pseudopodoces humilis"
"Melopsittacus undulatus"
"Amazona vittata"
"Ara macao"
"Columba livia"
"Anas platyrhynchos"
"Gallus gallus"
"Meleagris gallopavo"
"Alligator mississippiensis"
"Chelonia mydas"
"Chrysemys picta bellii"
"Pelodiscus sinensis"
"Apalone spinifera"
"Anolis carolinensis"
"Xenopus tropicalis"
"Latimeria chalumnae"
