mmu-miR v.21,Normalized expression in Brain
mmu-let-7a-5p,94053.39
mmu-let-7b-5p,37421.86
mmu-let-7c-5p,161547.9
mmu-let-7d-5p,106015.95
mmu-let-7e-5p,19644.43
mmu-let-7f-5p,97900.91
mmu-let-7g-5p,61281.36
mmu-let-7i-5p,46455.02
mmu-miR-1a-3p,7984.67
mmu-miR-100-5p,2675.65
mmu-miR-101a-3p,12008.36
mmu-miR-101b-3p,5284.65
mmu-miR-103-3p,39402.94
mmu-miR-106a-5p,7.02
mmu-miR-106b-5p,4842.84
mmu-miR-10a-5p,59.58
mmu-miR-10b-5p,16.92
mmu-miR-1188-5p,19.58
miR-1189,509.79
mmu-miR-1193-3p,12.1
mmu-miR-1193-5p,0
mmu-miR-1197-3p,17.34
mmu-miR-1198-3p,23.31
mmu-miR-1198-5p,59.34
mmu-miR-1199-5p,0
mmu-miR-122-5p,64.15
mmu-miR-1224-5p,95.22
mmu-miR-124-3p,453390.07
mmu-miR-1247-5p,9.94
mmu-miR-1251-5p,120.43
mmu-miR-125a-5p,29950.26
mmu-miR-125b-5p,112656.99
mmu-miR-126a-3p,11128.8
mmu-miR-1264-3p,157.7
mmu-miR-1264-5p,48.61
mmu-miR-126a-5p,3959.17
mmu-miR-127-3p,34529.01
mmu-miR-128-3p,71120.81
mmu-miR-129-1-3p,1211.74
mmu-miR-129-5p,2248.57
mmu-miR-129-5p,18774.18
mmu-miR-1298-5p,1277.07
mmu-miR-1b-5p,15.34
mmu-miR-1306-3p,61.06
mmu-miR-130a-3p,938.5
mmu-miR-130b-3p,89.26
mmu-miR-130b-5p,67.52
mmu-miR-132-3p,12740.78
mmu-miR-132-5p,3758.1
mmu-miR-133a-1,772.89
mmu-miR-133a-2,284.61
mmu-miR-133b-3p,556.19
mmu-miR-134-5p,677.26
mmu-miR-135a-5p,19345.33
mmu-miR-135b-5p,4118.59
mmu-miR-136-5p,44216.7
mmu-miR-137-3p,49307.29
mmu-miR-138-5p,96697.88
mmu-miR-139-5p,12465.59
mmu-miR-140-3p,2218.29
mmu-miR-140-5p,2326.63
mmu-miR-141-3p,64.91
mmu-miR-142a-3p,1601.61
mmu-miR-142a-5p,2443.41
mmu-miR-143-3p,1547.88
mmu-miR-144-3p,5091
mmu-miR-145a-5p,600.32
mmu-miR-146a-5p,396.97
mmu-miR-146b-5p,124.86
mmu-miR-147-3p,15.88
mmu-miR-148a-3p,1312.69
mmu-miR-148b-3p,3012.78
mmu-miR-149-5p,3694.85
mmu-miR-150-5p,2045.02
mmu-miR-151-3p,829.35
mmu-miR-151-5p,2213.38
mmu-miR-152-3p,1104.23
mmu-miR-153-3p,69880.62
mmu-miR-154-3p,941.05
mmu-miR-154-5p,3664.33
mmu-miR-155-5p,123.49
mmu-miR-15a-5p,7012.36
mmu-miR-15b-5p,587.54
mmu-miR-16-5p,18294.13
mmu-miR-17-5p,979.87
mmu-miR-181a-5p,45574.05
mmu-miR-181b-5p,3227.77
mmu-miR-181c-3p,256.77
mmu-miR-181c-5p,2961.43
mmu-miR-181d-5p,771.9
mmu-miR-182-5p,150.44
mmu-miR-183-5p,116.89
mmu-miR-1839-5P,2135.28
mmu-miR-184-3p,3.17
mmu-miR-185-5p,4181.74
mmu-miR-186-5p,3093.03
mmu-miR-187-3p,409.06
mmu-miR-188-5p,162.64
mmu-miR-18a-5p,234.11
mmu-miR-18b-5p,0.21
mmu-miR-190a-5p,1890.2
mmu-miR-190b-5p,6.27
mmu-miR-191-5p,18698.31
mmu-miR-1912-3p,15.77
mmu-miR-192-5p,1833.17
mmu-miR-1930-5p,7.77
mmu-miR-1933-3p,0.34
mmu-miR-1933-5p,0
mmu-miR-193a-3p,80.09
mmu-miR-1934-5p,0.83
mmu-miR-193a-5p,17.68
mmu-miR-193b-3p,460.56
mmu-miR-194-5p,12023.9
mmu-miR-1941-3p,3.62
mmu-miR-1941-5p,2.49
mmu-miR-1943-5p,0.45
mmu-miR-1947-5p,0.49
mmu-miR-195a-5p,7043.21
mmu-miR-1955-3p,2.3
mmu-miR-1955-5p,1.05
mmu-miR-196a-5p,1
mmu-miR-1964-3p,8.42
mmu-miR-1964-5p,6.65
mmu-miR-1968-5p,1.48
mmu-miR-196b-5p,1.04
mmu-miR-1981-3p,55.46
mmu-miR-1981-5p,102.3
mmu-miR-1982-3p,16.54
mmu-miR-199a-3p,532.58
mmu-miR-199a-5p,90.86
mmu-miR-19a-3p,153.98
mmu-miR-19b-3p,1760.73
mmu-miR-200a-3p,504
mmu-miR-200b-3p,294.73
mmu-miR-200c-3p,86.19
mmu-miR-201-5p,1.07
mmu-miR-202-3p,0.03
mmu-miR-202-5p,0.1
mmu-miR-203-3p,278.63
mmu-miR-204-5p,6615.63
mmu-miR-205-5p,21.96
mmu-miR-206-3p,1467.77
mmu-miR-208a-3p,4.17
mmu-miR-208a-5p,0
mmu-miR-208b-3p,3.32
mmu-miR-20a-5p,857.13
mmu-miR-20b-5p,18.55
mmu-miR-21a-5p,22185.53
mmu-miR-210-3p,155.65
mmu-miR-211-5p,9.34
mmu-miR-212-3p,3639.76
mmu-miR-212-5p,3162.01
mmu-miR-214-3p,1.52
mmu-miR-215-5p,10.62
mmu-miR-216a-5p,76.62
mmu-miR-216b-5p,62.53
mmu-miR-217-5p,60.42
mmu-miR-218-5p,44580.59
mmu-miR-219a-5p,11908.04
mmu-miR-219a-2-3p,4735.76
mmu-miR-22-3p,16851.9
mmu-miR-221-3p,11135.79
mmu-miR-222-3p,30974.47
mmu-miR-223-3p,70.47
mmu-miR-224-5p,4.69
mmu-miR-23a-3p,2656.21
mmu-miR-23b-3p,8930.96
mmu-miR-24-3p,31023.03
mmu-miR-25-3p,832.26
mmu-miR-26a-5p,160952.12
mmu-miR-26b-5p,7880.38
mmu-miR-27a-3p,6045.99
mmu-miR-27b-3p,17258.77
mmu-miR-28a-3p,35.36
mmu-miR-28a-5p,538.11
mmu-miR-290a-5p,0
mmu-miR-291a-3p,0
mmu-miR-291a-5p,0.17
mmu-miR-291b-3p,0
mmu-miR-291b-5p,0
mmu-miR-292a-3p,0
mmu-miR-292a-5p,0
mmu-miR-293-3p,0
mmu-miR-294-3p,0
mmu-miR-295-3p,0
mmu-miR-296-3p,29.52
mmu-miR-296-5p,490.78
mmu-miR-297a-3p,4.11
mmu-miR-297a-5p,1.43
miR-297a-5-3p,0.47
mmu-miR-297b-5p,1.84
mmu-miR-297c-5p,4.74
mmu-miR-298-5p,56.61
mmu-miR-299a-3p,205.74
mmu-miR-299a-5p,367.21
mmu-miR-29a-3p,131019.46
mmu-miR-29b-3p,76739
mmu-miR-29c-3p,14206.82
mmu-miR-300-3p,9021.3
mmu-miR-301a-3p,1719.27
mmu-miR-301b-3p,77.57
mmu-miR-302a-3p,0.41
mmu-miR-302b-3p,0.43
mmu-miR-302c-3p,0
mmu-miR-302c-5p,0
mmu-miR-302d-3p,0
mmu-miR-3057-3p,1.28
mmu-miR-3057-5p,16.23
mmu-miR-3058-5p,4.68
mmu-miR-3059-5p,156.31
mmu-miR-3060-3p,1.17
mmu-miR-3061-3p,4.49
mmu-miR-3061-5p,4.05
mmu-miR-3062-5p,2.51
mmu-miR-3063-3p,0
mmu-miR-3064-3p,0.48
mmu-miR-3064-5p,0.4
mmu-miR-3065-5p,0
mmu-miR-3066-5p,0.92
mmu-miR-3067-5p,0
mmu-miR-3068-5p,1238.87
mmu-miR-3070-3p,3.31
mmu-miR-3070-2-3p,2.18
miR-3070b-5p,3.6
