Transcript ID	Gene ID	Gene symbol	Gene description	Species ID	3P-seq tags	Representative transcript?
CDR1as	CDR1as	CDR1as	circular RNA CDR1as	10090	0	1
ENSMUST00000000001.4	ENSMUSG00000000001.4	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]	10090	6428	1
ENSMUST00000000003.8	ENSMUSG00000000003.10	Pbsn	probasin [Source:MGI Symbol;Acc:MGI:1860484]	10090	5	1
ENSMUST00000000010.8	ENSMUSG00000020875.9	Hoxb9	homeobox B9 [Source:MGI Symbol;Acc:MGI:96190]	10090	21	1
ENSMUST00000000028.8	ENSMUSG00000000028.9	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]	10090	41	1
ENSMUST00000000033.6	ENSMUSG00000048583.11	Igf2	insulin-like growth factor 2 [Source:MGI Symbol;Acc:MGI:96434]	10090	20	1
ENSMUST00000000049.5	ENSMUSG00000000049.6	Apoh	apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]	10090	43929	1
ENSMUST00000000058.6	ENSMUSG00000000058.6	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]	10090	4227	1
ENSMUST00000000080.6	ENSMUSG00000000078.6	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]	10090	6715	1
ENSMUST00000000087.7	ENSMUSG00000000085.11	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]	10090	359	1
ENSMUST00000000090.6	ENSMUSG00000000088.6	Cox5a	cytochrome c oxidase subunit Va [Source:MGI Symbol;Acc:MGI:88474]	10090	27556	1
ENSMUST00000000094.8	ENSMUSG00000061689.10	Dlgap4	discs, large homolog-associated protein 4 (Drosophila) [Source:MGI Symbol;Acc:MGI:2138865]	10090	618	1
ENSMUST00000000095.6	ENSMUSG00000000093.6	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]	10090	264	1
ENSMUST00000000096.6	ENSMUSG00000000094.7	Tbx4	T-box 4 [Source:MGI Symbol;Acc:MGI:102556]	10090	846	1
ENSMUST00000000122.6	ENSMUSG00000000120.6	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]	10090	14	1
ENSMUST00000000127.5	ENSMUSG00000000125.5	Wnt3	wingless-related MMTV integration site 3 [Source:MGI Symbol;Acc:MGI:98955]	10090	25	1
