Parameter,Value (kcal/mol)
Intercept,-7.27409777
A1,-0.117338487
A2,0.248183871
A3,0.256977694
A4,-0.066076879
A5,-0.474289259
A6,-0.50666592
A7,0.430124024
A8,-0.343731049
A9,0.073430701
A10,0.015295434
A11,-0.114748735
A12,0.137343185
A13,0.087019363
A14,-0.598827942
A15,0.325562312
A16,0.51012788
A17,-0.311441819
A18,0.138222655
A19,-0.032154944
A20,-0.215030804
A21,0
C1,0.034336206
C2,0.228742926
C3,-0.777125858
C4,0.20705463
C5,0.222831091
C6,0.595498114
C7,0.507101695
C8,-0.103669745
C9,0.229048724
C10,0.649078677
C11,-0.556022923
C12,0.268987081
C13,0.258077064
C14,0.394910728
C15,-0.607861201
C16,0.533067626
C17,0.131021776
C18,-0.400364647
C19,-0.080148075
C20,0
C21,-0.175910463
G1,0.091395304
G2,0.09778564
G3,0.368560725
G4,-1.231692375
G5,0.047859009
G6,-0.312367301
G7,0.033667529
G8,-0.21016428
G9,-0.212092641
G10,-0.169406508
G11,0.170853407
G12,0.243793562
G13,-0.825109343
G14,0.19438792
G15,0.523786596
G16,0.296084703
G17,-0.245384176
G18,0.461634774
G19,-0.067594216
G20,-0.064058456
G21,0
U1,-0.008393023
U2,-0.574712438
U3,0.460302715
U4,-0.144384324
U5,0.309457504
U6,0.220644966
U7,-0.236152099
U8,-0.093589642
U9,0.073216683
U10,0.027833437
U11,-0.280494367
U12,-0.26997351
U13,-0.27986187
U14,0.311593995
U15,-0.311278507
U16,-0.48675229
U17,0.289100691
U18,-0.087211962
U19,-0.069648895
U20,0
U21,-0.211463473
guide_bulge_initiations_2_to_8,0.320872619
guide_bulge_initiations_8_to_13,0.174731331
guide_bulge_initiations_13_to_18,0.084998115
guide_bulge_extentions_2_to_8,0.355352951
guide_bulge_extentions_8_to_13,0.160540013
guide_bulge_extentions_13_to_18,0
target_bulge_initiations_2_to_8,0.670287837
target_bulge_initiations_8_to_13,0.317823569
target_bulge_initiations_13_to_18,0.458419828
target_bulge_extentions_2_to_8,0.020781674
target_bulge_extentions_8_to_13,0.055370715
target_bulge_extentions_13_to_18,0.152901406
initiation_penalty,0.194873558
RNAfold Relative Structure Multiplier,-0.249668814
